Quantity	Vendor P/N	Reference	Value	Manufacturer	Manufacturer P/N
1	102-1285-ND	B1 	SPEAKER	CUI	CX-0905C 
1	1253-1084-1-ND	X1 	16MHz	AVX	PBRC16.00HR70X000 
1	296-13496-1-ND	U5 	74LVC2G34	Texas Instruments	SN74LVC2G34DBVR 
1	296-16843-1-ND	U6 	74LVC1T45	Texas Instruments	SN74LVC1T45DBVR 
1	3319P-103-ND	R6 	10k	Bourns	3319P-1-103 
1	399-1234-1-ND	C13 	0.01uF	Kemet	C1206C103K5RACTU 
7	399-1249-1-ND	C10 C11 C12 C2 C3 C4 C9 	0.1uF	Kemet	C1206C104K5RACTU 
3	399-8147-1-ND	C1 C5 C6 	1uF	Kemet	C1206C105K5RACTU 
2	490-1060-1-ND	L2 L3 	INDUCTOR_SMALL	Murata	BLM41PG471SN1L 
2	568-1741-1-ND	Q2 Q3 	PMBT3904	NXP	PMBT3904 
2	609-4613-1-ND	J2 J3 	USB-Micro-B	FCI	10118192-0001LF 
1	952-2120-ND	P1 	CONN_02X03	Harwin	M20-9980345 
1	952-2380-ND	J4 	CONN_02X05	Harwin	M20-9980545 
1	A98076-ND	J7 	CONN_01X02	TE Connectivity	282836-2 
1	ATMEGA32U4-AURCT-ND	U1 	ATMEGA32U4-A	Atmel	ATMEGA32U4-AU 
2	CG0603MLC-05ECT-ND	VR1 VR2 	VR	Bourns	CG0603MLC-05E 
1	FDN340PCT-ND	Q1 	FDN340P	Fairchild	FDN340P 
1	MAX31855KASA+TCT-ND	U7 	MAX31855KASA+	Maxim	MAX31855KASA+ 
1	MCP1700T3302ETTCT-ND	U2 	MCP1700T-3302E/TT	Microchip	MCP1700T-3302E/TT 
1	MF-MSMF050-2CT-ND	F1 	500mA	Bourns	MF-MSMF050-2 
1	MH2029-300YCT-ND	L1 	Ferrite Bead	Bourns	MH2029-300Y 
1	NHD-0208AZ-FL-YBW-ND	U3 	LCD8X2	Newhaven Display	NHD-0208AZ-FL-YBW 
1	NUP2105LT1GOSCT-ND	U8 	NUP2105L	ON Semiconductor	NUP2105LT1G 
5	P10KECT-ND	R10 R3 R4 R7 R9 	10k	Panasonic	ERJ-8GEYJ103V 
1	P1KECT-ND	R5 	1k	Panasonic	ERJ-8GEYJ102V 
2	P22ECT-ND	R1 R2 	22	Panasonic	ERJ-8GEYJ220V 
1	P47KECT-ND	R8 	47k	Panasonic	ERJ-8GEYJ473V 
1	S7076-ND	U3a		Sullins	PPTC082LFBN-RC
1	952-1817-ND	U3b		Harwin	M20-9760842
